Container;Treatment;Tr. nb;Day;Surface
16;Curve 2;4;14;105.94
17;Constant;1;14;89.15
18;Curve 2;4;14;101.63
19;Curve;3;14;103.40
20;Block;2;14;116.65
1;Constant;1;15;82.29
2;Curve 2;4;15;108.05
3;Curve;3;15;105.18
4;Block;2;15;132.33
5;Curve;3;15;104.26
6;Curve 2;4;15;110.94
7;Constant;1;15;105.77
8;Block;2;15;137.69
9;Curve;3;15;NA
10;Block;2;15;114.71
11;Constant;1;15;96.12
13;Constant;1;15;92.67
14;Block;2;15;117.79
15;Curve;3;15;100.49
16;Curve 2;4;15;107.93
17;Constant;1;15;80.57
18;Curve 2;4;15;NA
19;Curve;3;15;103.64
20;Block;2;15;116.71
1;Constant;1;16;86.08
2;Curve 2;4;16;110.09
3;Curve;3;16;109.28
4;Block;2;16;132.91
5;Curve;3;16;108.77
6;Curve 2;4;16;110.63
7;Constant;1;16;108.35
8;Block;2;16;138.06
9;Curve;3;16;96.93
10;Block;2;16;114.06
11;Constant;1;16;99.59
13;Constant;1;16;87.69
14;Block;2;16;122.09
15;Curve;3;16;103.38
16;Curve 2;4;16;106.10
17;Constant;1;16;82.68
18;Curve 2;4;16;101.73
19;Curve;3;16;99.64
20;Block;2;16;117.45
1;Constant;1;17;91.09
2;Curve 2;4;17;111.62
3;Curve;3;17;109.37
4;Block;2;17;131.56
5;Curve;3;17;109.89
6;Curve 2;4;17;112.22
7;Constant;1;17;110.75
8;Block;2;17;140.51
9;Curve;3;17;99.94
10;Block;2;17;112.46
11;Constant;1;17;101.37
13;Constant;1;17;92.04
14;Block;2;17;124.25
15;Curve;3;17;103.34
16;Curve 2;4;17;107.05
17;Constant;1;17;83.66
18;Curve 2;4;17;101.82
19;Curve;3;17;99.76
20;Block;2;17;116.99
1;Constant;1;18;88.63
2;Curve 2;4;18;111.62
3;Curve;3;18;109.04
4;Block;2;18;130.11
5;Curve;3;18;111.52
6;Curve 2;4;18;113.22
7;Constant;1;18;105.91
8;Block;2;18;140.17
9;Curve;3;18;100.81
10;Block;2;18;115.18
11;Constant;1;18;99.24
13;Constant;1;18;95.35
14;Block;2;18;123.76
15;Curve;3;18;104.45
16;Curve 2;4;18;106.65
17;Constant;1;18;80.66
18;Curve 2;4;18;100.54
19;Curve;3;18;99.09
20;Block;2;18;115.90
1;Constant;1;19;94.98
2;Curve 2;4;19;112.29
3;Curve;3;19;112.34
4;Block;2;19;133.66
5;Curve;3;19;111.70
6;Curve 2;4;19;114.97
7;Constant;1;19;112.67
8;Block;2;19;141.37
9;Curve;3;19;105.07
10;Block;2;19;115.38
11;Constant;1;19;106.67
13;Constant;1;19;92.47
14;Block;2;19;126.05
15;Curve;3;19;108.87
16;Curve 2;4;19;108.66
17;Constant;1;19;94.02
18;Curve 2;4;19;106.39
19;Curve;3;19;104.13
20;Block;2;19;117.91
1;Constant;1;20;95.68
2;Curve 2;4;20;111.23
3;Curve;3;20;110.51
4;Block;2;20;136.22
5;Curve;3;20;110.27
6;Curve 2;4;20;113.66
7;Constant;1;20;109.21
8;Block;2;20;142.88
9;Curve;3;20;105.54
10;Block;2;20;115.11
11;Constant;1;20;104.36
13;Constant;1;20;99.00
14;Block;2;20;124.44
15;Curve;3;20;108.28
16;Curve 2;4;20;108.50
17;Constant;1;20;93.08
18;Curve 2;4;20;106.06
19;Curve;3;20;104.23
20;Block;2;20;117.83
1;Constant;1;21;100.00
2;Curve 2;4;21;113.06
3;Curve;3;21;110.89
4;Block;2;21;135.91
5;Curve;3;21;112.55
6;Curve 2;4;21;116.11
7;Constant;1;21;112.26
8;Block;2;21;138.70
9;Curve;3;21;108.83
10;Block;2;21;115.92
11;Constant;1;21;105.70
13;Constant;1;21;99.52
14;Block;2;21;126.95
15;Curve;3;21;109.08
16;Curve 2;4;21;111.83
17;Constant;1;21;99.58
18;Curve 2;4;21;108.03
19;Curve;3;21;NA
20;Block;2;21;120.12
1;Constant;1;22;91.65
2;Curve 2;4;22;110.99
3;Curve;3;22;108.23
4;Block;2;22;135.97
5;Curve;3;22;110.18
6;Curve 2;4;22;111.79
7;Constant;1;22;105.00
8;Block;2;22;137.55
9;Curve;3;22;100.98
10;Block;2;22;115.81
11;Constant;1;22;98.97
13;Constant;1;22;102.36
14;Block;2;22;125.62
15;Curve;3;22;105.63
16;Curve 2;4;22;109.19
17;Constant;1;22;86.40
18;Curve 2;4;22;NA
19;Curve;3;22;99.85
20;Block;2;22;114.62
